X,Y,POINT_X,POINT_Y,ID2,Elevation,Analytical Hillshading,Convergence Index,Total Catchment Area,Topographic Wetness Index,LS-Factor,Channel Network Base Level,Channel Network Distance,Valley Depth,Relative Slope Position,Slope,Aspect,TRASP,Profile Curvature,Plan Curvature,Tangential Curvature,Total Insolation,Cookwest cells clusterID 20191125
493161.5532,5180694.683,493161.5532,5180694.683,426,780.55859,0.966504,5.654131,234.525375,3.798865,2.235422,774.560181,5.998413,13.507324,0.30752,13.386174,91.994141,0.265219075,0.005656,0.035907,0.008313,1703.329834,4
493180.2733,5180690.089,493180.2734,5180690.089,427,775.14771,0.942539,4.143743,395.521423,4.751667,2.107197,774.111145,1.03656,18.861145,0.052094,11.316509,94.572327,0.28531431,-0.013476,0.000053,0.00001,1720.976685,2
493206.1393,5180697.801,493206.1393,5180697.801,428,773.77847,0.795158,1.89322,68590.73438,13.120214,0.15647,773.778442,0,20.174927,0,0.652406,166.180374,0.86076155,-0.000366,-0.101578,-0.001157,1744.501831,2
493119.9033,5180723.638,493119.9033,5180723.638,429,784.95648,0.786151,4.955688,241.125671,3.990233,2.652498,776.221313,8.735168,9.450562,0.480331,14.641,37.791183,0.004615643,0.005119,0.008573,0.002167,1467.174561,1
493156.7321,5180717.818,493156.7321,5180717.818,430,781.49876,0.865334,4.406269,243.325684,4.041813,2.523041,775.325806,6.172974,12.710693,0.326895,14.056519,57.628639,0.057014054,0.000367,0.025841,0.006276,1548.044189,1
493181.8996,5180719.875,493181.8996,5180719.875,431,775.1724,0.889039,0.361916,448.249329,5.179165,1.475188,774.521118,0.651306,18.930664,0.033261,8.413308,87.084068,0.228296051,-0.010771,-0.00444,-0.00065,1708.152222,2
493220.8261,5180728.353,493220.8261,5180728.354,432,773.94018,0.783958,-17.333029,22266.06641,12.829718,0.158368,773.942261,0,20.075134,0,0.683682,232.262924,0.962727535,-0.001901,-0.209171,-0.002496,1742.023682,2
493062.6888,5180751.108,493062.6888,5180751.108,433,788.58245,0.84726,1.58432,324.874298,4.168036,3.255472,777.463501,11.118958,6.493591,0.631309,16.417372,49.660393,0.029148328,-0.004292,-0.003993,-0.001128,1474.490845,1
493099.6378,5180747.435,493099.6378,5180747.435,434,783.32125,0.776456,1.873241,461.702789,4.778514,2.547923,776.879822,6.441406,11.38678,0.361305,12.811976,36.232742,0.002955458,-0.007546,-0.011303,-0.002507,1498.210693,1
493129.397,5180740.359,493129.397,5180740.359,435,779.68145,0.798962,1.483615,555.43042,5.616518,1.631762,776.551941,3.129517,14.862122,0.173943,8.489032,46.049049,0.01948731,-0.006434,-0.011267,-0.001663,1604.149414,4
493154.1404,5180744.3,493154.1404,5180744.3,436,777.68065,0.809859,0.549102,684.497498,5.860325,1.15478,776.247742,1.432922,16.755249,0.078783,6.520043,54.269073,0.044187365,-0.003605,-0.015432,-0.001752,1650.5448,4
493182.8059,5180757.26,493182.8059,5180757.26,437,776.43932,0.882014,-11.741327,219.935303,4.401729,0.951749,775.803223,0.636108,17.91687,0.034286,6.963161,174.344604,0.90626878,-0.002923,0.043013,0.005215,1854.395996,3
493221.0407,5180736.025,493221.0407,5180736.025,438,774.08734,0.793746,-9.577301,7525.638672,10.862984,0.179874,774.087341,0,19.975586,0,0.973205,195.693817,0.984494536,0.000047,-0.097114,-0.001649,1751.822021,2
493253.4584,5180757.366,493253.4584,5180757.366,439,774.78549,0.763832,-5.694889,1429.927002,8.48165,0.19576,774.785461,0,19.262878,0,1.406261,286.824646,0.61396603,-0.001522,-0.050711,-0.001245,1726.183716,2
493033.3601,5180774.243,493033.3601,5180774.243,440,790.37636,0.841371,-3.13387,369.437012,4.624563,3.117069,778.061279,12.315063,5.309998,0.698725,14.986598,50.212925,0.030792447,-0.001642,-0.02691,-0.006959,1502.941894,1
493058.079,5180770.8,493058.0791,5180770.8,441,785.50541,0.789041,-3.340389,474.090393,5.120025,1.726583,777.804749,7.700684,9.94751,0.436344,9.422985,41.55365,0.010131203,-0.006088,0.005807,0.000951,1576.731201,4
493078.9372,5180776.433,493078.9372,5180776.433,442,783.56776,0.825845,-4.370391,431.969055,5.142824,1.108034,777.629395,5.938354,11.722595,0.336242,6.980818,61.165394,0.072161507,0.000779,0.041014,0.004985,1657.762817,4
493115.5741,5180772.255,493115.5741,5180772.255,443,779.71249,0.84223,-7.631547,1020.070007,6.201617,1.346649,777.364319,2.348145,15.330872,0.132821,6.903213,70.194252,0.118069611,-0.001677,0.001996,0.00024,1678.030151,4
493136.9419,5180765.204,493136.9419,5180765.204,444,778.31981,0.798821,-5.861304,1165.091309,6.576863,1.012892,776.964966,1.354858,16.441895,0.07613,5.427844,50.476929,0.031593435,-0.002491,-0.010107,-0.000956,1660.432251,4
493177.1408,5180763.598,493177.1408,5180763.598,445,777.46303,0.834723,-11.650448,195.164795,4.529733,0.9901,776.347961,1.115051,17.031738,0.061446,7.0282,204.421814,0.99763224,-0.001181,0.044209,0.005409,1843.981812,3
493211.0524,5180783.166,493211.0524,5180783.166,446,777.45186,0.926226,3.165736,717.799866,5.659188,1.602028,776.473755,0.978088,16.953125,0.054547,8.337389,150.551437,0.754155841,-0.00124,-0.026479,-0.00384,1856.407959,3
493250.041,5180770.245,493250.041,5180770.245,447,775.04703,0.811196,-1.60175,1071.989502,7.335832,0.334867,775.047058,0,19.09729,0,2.343653,186.79866,0.959563063,-0.002929,-0.017924,-0.000733,1777.628418,2
493269.5307,5180778.103,493269.5307,5180778.103,448,775.23749,0.789682,-1.314287,1473.275513,8.534325,0.161022,775.237488,0,18.831055,0,1.226017,214.045364,0.998754254,-0.00058,-0.067311,-0.00144,1753.569824,2
493010.7625,5180819.579,493010.7625,5180819.579,449,793.097,0.956615,-2.285851,318.539185,4.577868,1.912972,778.706543,14.390442,3.988037,0.783005,10.855162,107.53923,0.39211445,0.003308,-0.009671,-0.001821,1770.797119,2
493037.9903,5180804.644,493037.9903,5180804.644,450,788.54245,0.941504,-5.199444,631.923218,5.2739,2.16377,778.493713,10.048767,7.984619,0.557231,10.739088,98.669769,0.318128616,-0.003101,-0.0178,-0.003317,1739.252686,2
493062.9934,5180810.278,493062.9934,5180810.278,451,784.24506,0.906928,-3.892195,824.580017,5.814919,1.611724,778.51123,5.733826,12.151978,0.32058,8.198483,101.118385,0.338193089,-0.000767,0.006034,0.00086,1749.053345,2
493099.006,5180815.365,493099.006,5180815.365,452,779.76106,0.843133,-4.666996,6518.585938,9.480866,0.872626,778.307617,1.45343,16.069824,0.082943,3.334651,142.471939,0.691115455,-0.001955,-0.18134,-0.010548,1780.764893,2
493108.4058,5180801.305,493108.4058,5180801.305,453,778.97971,0.830028,-5.008229,9391.883789,10.051637,0.719121,778.022583,0.957153,16.546387,0.054683,2.716138,155.14978,0.787857932,-0.004129,-0.22566,-0.010694,1777.809204,2
493163.5092,5180809.393,493163.5092,5180809.393,454,778.09439,0.747033,-1.144869,11222.44727,9.300963,1.245303,777.683899,0.410461,16.876526,0.023744,4.330739,257.413544,0.838350973,-0.008556,-0.026678,-0.002015,1747.284302,2
493186.1087,5180807.786,493186.1087,5180807.786,455,780.48596,0.747681,-0.337973,180.697113,4.677156,0.552124,777.542236,2.943726,14.29718,0.170741,4.664855,254.710831,0.855333247,0.005462,0.036777,0.002991,1752.950317,2
493218.9118,5180794.019,493218.9118,5180794.019,456,778.41779,0.930921,1.424489,594.516907,5.324334,1.8576,776.874634,1.543152,15.992798,0.087999,9.629027,167.232239,0.867056027,-0.00152,-0.009688,-0.00162,1891.113525,3
493241.5752,5180806.682,493241.5752,5180806.682,457,779.78015,0.9684,1.006213,426.932434,4.740018,2.387698,777.149719,2.630432,14.574768,0.152886,12.32767,169.656204,0.881086855,-0.000368,0.008881,0.001896,1928.625977,3
493269.8864,5180802.812,493269.8864,5180802.812,458,777.8932,0.947574,1.122223,654.606445,5.37951,1.994567,776.916138,0.977051,16.317505,0.056495,10.025159,158.76329,0.813052176,-0.002801,0.006905,0.001202,1888.555908,3
493295.4658,5180815.285,493295.4658,5180815.285,459,778.07884,0.954769,0.666815,575.584351,5.241597,1.966732,777.160156,0.918701,16.101868,0.053976,10.116589,152.710999,0.770200927,-0.004466,0.008112,0.001425,1881.473144,3
493011.8358,5180850.195,493011.8359,5180850.195,460,795.38848,0.953903,1.385442,264.371552,3.913935,2.302963,779.179504,16.208984,3.286377,0.831428,13.447355,86.61898,0.224897922,0.003034,0.021048,0.004895,1680.213257,4
493036.3095,5180831.965,493036.3095,5180831.966,461,790.15216,0.970709,1.202144,409.643829,4.707705,2.34166,778.920654,11.231506,7.342468,0.60469,12.220213,102.597069,0.350455197,-0.002659,0.009648,0.002042,1752.014282,2
493054.8175,5180848.523,493054.8175,5180848.523,462,786.48934,0.920861,0.109397,483.134552,4.780243,1.871913,779.03656,7.452759,10.928528,0.405454,10.411593,89.981293,0.249858635,-0.001791,0.014396,0.002602,1710.101318,2
493102.811,5180826.693,493102.811,5180826.693,463,780.43803,0.832724,-3.724496,3084.645508,8.540528,0.963512,778.525757,1.912292,15.583557,0.1093,4.038884,184.284409,0.950479492,-0.000942,-0.061751,-0.004349,1806.194092,3
493109.4478,5180838.723,493109.4478,5180838.723,464,781.49785,0.817979,-1.752756,180.204391,4.769226,0.35288,778.707214,2.790649,14.555237,0.160882,3.418051,193.30275,0.978918143,0.00459,0.049523,0.002953,1794.435059,2
493137.037,5180842.74,493137.037,5180842.74,465,780.7084,0.830114,-12.059527,204.778213,4.769192,0.781906,778.869568,1.838806,15.192993,0.107963,5.813308,68.60511,0.109267586,0.003018,0.041028,0.004156,1685.795898,4
493175.1036,5180850.153,493175.1036,5180850.153,466,781.05666,0.774302,-0.294501,657.524963,5.984274,0.927579,778.986389,2.070251,14.362732,0.125981,5.539604,234.361984,0.955478778,0.00082,0.027369,0.002642,1788.322144,2
493216.5489,5180832.894,493216.5489,5180832.894,467,784.90145,0.790536,7.836402,235.336609,4.326286,1.281604,778.350159,6.55127,9.874023,0.398853,8.583359,227.324036,0.977317982,0.000164,0.062799,0.009373,1828.623535,3
493233.3668,5180822.37,493233.3668,5180822.37,468,784.38242,0.936304,4.408939,265.799652,4.070878,1.910776,777.990723,6.391724,10.159424,0.38618,11.611653,180.437225,0.93490783,0.002205,0.025877,0.005208,1923.54834,3
493271.1005,5180842.43,493271.1005,5180842.43,469,785.26785,0.964363,5.295883,376.769775,4.774824,1.907419,778.23822,7.029602,9.151611,0.43443,10.551383,149.760452,0.748187437,0.001843,0.005089,0.000932,1882.291016,3
493304.2735,5180838.744,493304.2735,5180838.745,470,780.20218,0.976883,6.020605,326.549805,4.397511,1.891259,777.773865,2.428345,14.034851,0.147501,11.036545,128.229614,0.571570246,-0.000876,0.033853,0.006481,1836.245361,3
493324.898,5180847.638,493324.898,5180847.638,471,777.82639,0.879806,2.858022,475.53125,5.58582,0.956731,777.565674,0.260742,16.390015,0.015659,5.964507,108.888275,0.403638613,-0.009039,-0.000257,-0.000027,1762.549927,2
492992.9117,5180871.682,492992.9117,5180871.683,472,799.11251,0.902488,1.485642,300.405151,4.622425,1.660512,779.351929,19.760559,1.14093,0.945414,9.813028,84.775116,0.211606423,0.009989,0.000244,0.000042,1696.778564,4
493042.1069,5180868.908,493042.1069,5180868.908,473,787.81298,0.906203,0.450494,799.593567,5.486509,2.333606,779.326904,8.486084,10.490723,0.447182,10.980025,80.08889,0.179200811,-0.004452,-0.008471,-0.001613,1671.199463,4
493058.4464,5180856.557,493058.4465,5180856.557,474,784.67457,0.894963,0.179713,907.055542,5.852661,1.767597,779.190247,5.484314,12.805481,0.299857,8.677248,88.524033,0.238929563,-0.00313,-0.003457,-0.000522,1712.880371,2
493091.8004,5180882.38,493091.8004,5180882.38,475,782.2904,0.835168,-4.669461,1125.300537,6.681953,0.839867,779.730164,2.560242,15.184265,0.144284,4.722934,80.311081,0.180690498,-0.00286,0.003322,0.000273,1713.589111,2
493106.7598,5180863.138,493106.7598,5180863.138,476,781.88775,0.814239,-0.059481,777.66156,6.519336,0.596972,779.360779,2.526978,14.926697,0.144782,3.843154,68.75943,0.110109272,0.003338,-0.002673,-0.000179,1703.974976,4
493149.3342,5180853.777,493149.3342,5180853.777,477,779.54296,0.815078,-11.674309,9884.555664,10.261829,1.315586,779.049744,0.493225,16.177246,0.029587,3.951424,201.265686,0.99420156,-0.004442,-0.114817,-0.007912,1799.888306,2
493174.7823,5180868.391,493174.7823,5180868.391,478,781.4917,0.750655,-1.63305,873.904968,6.278265,0.969943,779.217896,2.273804,14.044434,0.139341,5.487677,248.883133,0.889213989,0.000421,0.013985,0.001337,1764.461304,2
493208.3152,5180868.253,493208.3152,5180868.253,479,786.34942,0.697128,4.333371,352.029053,4.674641,1.959437,779.050049,7.299377,8.675537,0.456927,10.889332,257.776215,0.83601403,-0.003853,-0.008669,-0.001638,1751.543213,2
493243.9471,5180860.579,493243.9471,5180860.579,480,790.40366,0.850933,18.674576,143.056931,4.170228,0.676718,778.883423,11.520264,4.334229,0.726625,5.718215,186.031708,0.956885205,0.001313,0.095315,0.009497,1836.454224,3
493272.8861,5180873.382,493272.8861,5180873.382,481,788.51952,0.927298,7.183066,226.864075,4.370884,1.512903,778.83844,9.681091,6.084351,0.61407,9.535426,101.200294,0.338869581,0.003328,0.039494,0.006543,1749.597656,2
493311.5186,5180869.989,493311.5187,5180869.989,482,779.67841,0.919475,2.660244,413.321259,4.645352,1.766668,778.14386,1.534546,14.679993,0.09464,10.198117,90.763779,0.255794299,-0.008443,0.005364,0.00095,1712.91394,2
493343.9714,5180871.53,493343.9714,5180871.53,483,778.20717,0.814959,-15.588865,468.716492,5.891572,0.631261,778.116516,0.090637,16.110352,0.005595,4.337658,203.981781,0.997244303,-0.003499,0.034909,0.00264,1804.76062,2
492980.0493,5180899.163,492980.0494,5180899.163,484,801.13813,0.947281,1.903283,477.684448,5.050639,1.905575,779.491577,21.646545,0.967896,0.9572,10.161287,108.999702,0.40459295,0.004547,0.000101,0.000018,1775.390259,2
493009.1839,5180907.594,493009.1839,5180907.594,485,794.5263,0.984343,-0.428979,767.646606,5.312756,2.731874,779.690918,14.835388,6.609192,0.691801,12.495695,108.523247,0.400514837,-0.003748,-0.003933,-0.000851,1774.788574,2
493023.543,5180900.91,493023.543,5180900.91,486,792.65275,0.960413,-0.964679,770.924072,5.463547,2.27761,779.736816,12.915955,7.928101,0.619647,10.835836,110.869507,0.420658225,-0.002116,0.013117,0.002466,1781.046509,2
493063.9114,5180906.535,493063.9114,5180906.535,487,785.57648,0.893007,-2.847458,888.984985,5.763415,1.921809,779.947021,5.629456,13.313354,0.297182,9.287861,83.321404,0.201337207,-0.003432,-0.006004,-0.000969,1694.244141,4
493099.1137,5180903.806,493099.1137,5180903.806,488,782.02959,0.823645,-15.86662,8436.762695,10.043904,0.61861,780.12146,1.908142,15.581238,0.109103,2.459108,162.532288,0.83800279,-0.002431,-0.097659,-0.00419,1776.464111,2
493117.1142,5180911.406,493117.1142,5180911.406,489,782.55288,0.802021,-5.962494,2620.529785,8.471117,0.826154,780.330444,2.222412,14.969482,0.129271,3.678967,211.756546,0.999765048,-0.003241,-0.089536,-0.005745,1789.237549,2
493139.5956,5180910.312,493139.5956,5180910.312,490,785.29167,0.803985,-0.806316,189.442001,4.58654,0.48166,780.354919,4.936768,11.487244,0.300582,4.310464,212.764069,0.999418288,0.00267,0.109548,0.008234,1799.290527,2
493191.851,5180888.266,493191.851,5180888.266,491,783.83251,0.71006,-1.827786,485.398926,5.486991,1.119814,779.56488,4.267639,11.630127,0.268443,6.714202,267.70047,0.767172708,-0.002151,0.007134,0.000834,1728.655762,2
493197.1613,5180897.022,493197.1613,5180897.022,492,783.83687,0.715939,-2.905597,748.06897,5.951889,1.171329,779.768066,4.068787,11.730957,0.257522,6.502255,265.419769,0.783779851,-0.004355,-0.017125,-0.001939,1733.974487,2
493230.8047,5180909.185,493230.8047,5180909.185,493,791.61367,0.698366,26.367157,138.238373,3.837078,0.986041,779.680542,11.933105,3.538513,0.77129,7.689368,268.514984,0.761137782,0.011035,0.018088,0.00242,1725.552612,2
493267.6537,5180899.171,493267.6537,5180899.171,494,790.42654,0.905558,8.473237,196.391876,3.945526,1.439691,779.278748,11.147766,4.380676,0.717893,9.764859,86.594345,0.224718432,0.007244,0.018686,0.003169,1702.395752,4
493290.595,5180901.079,493290.595,5180901.079,495,781.98948,0.920719,3.123616,493.795105,4.741902,2.933919,779.203796,2.785706,12.721313,0.179642,14.159933,72.687912,0.132471173,-0.007546,-0.001562,-0.000382,1607.600342,4
493334.9706,5180903.195,493334.9706,5180903.196,496,780.29649,0.797926,-12.966917,323.345459,4.69296,1.283185,778.982056,1.314453,14.246643,0.08447,8.178823,224.019547,0.985106568,-0.001933,0.017502,0.00249,1829.918213,3
493369.0523,5180906.422,493369.0523,5180906.422,497,781.82094,0.890187,6.205503,248.480011,4.877057,0.907251,779.183777,2.637146,12.624451,0.172796,6.328438,154.371521,0.782278405,-0.000897,0.040205,0.004432,1834.358276,3
492963.978,5180941.429,492963.978,5180941.43,498,809.47769,0.944763,3.440506,220.936462,4.113739,1.529112,779.714233,29.763428,0,1,9.940653,109.915947,0.412453648,0.005935,0.055667,0.00961,1778.495117,2
492996.9987,5180938.338,492996.9987,5180938.338,499,801.46638,1.011671,0.692315,365.072662,4.008849,3.237949,779.815979,21.650391,2.674927,0.890035,16.71434,91.203102,0.259146885,-0.000761,0.016502,0.004746,1682.114014,4
493021.3223,5180921.387,493021.3223,5180921.387,500,793.392,0.96037,-0.851951,551.708252,4.680398,2.568685,779.921997,13.470032,7.930481,0.629426,13.053598,91.379807,0.26049937,-0.000928,0.009056,0.002045,1702.942017,4
493050.6117,5180917.413,493050.6117,5180917.413,501,787.07031,0.907723,-2.692582,909.950928,5.66808,2.24263,780.019165,7.051147,12.486694,0.360897,10.433363,83.590912,0.203226726,-0.003972,-0.009726,-0.001761,1687.570068,4
493103.9841,5180931.401,493103.9842,5180931.401,502,784.19526,0.875153,-8.695364,1349.045532,6.627709,1.179841,780.638489,3.556763,13.952759,0.203133,5.969484,166.956802,0.865419651,-0.001722,-0.01013,-0.001054,1836.099487,3
493114.7118,5180915.253,493114.7118,5180915.253,503,782.55288,0.802021,-5.962494,2620.529785,8.471117,0.826154,780.330444,2.222412,14.969482,0.129271,3.678967,211.756546,0.999765048,-0.003241,-0.089536,-0.005745,1789.237549,2
493141.2115,5180938.965,493141.2115,5180938.965,504,786.70222,0.815138,-0.979239,236.60762,4.779577,0.956137,780.735413,5.966797,10.360352,0.365452,6.640324,213.289566,0.999176141,-0.001006,0.035029,0.004051,1830.203369,3
493170.6913,5180914.324,493170.6914,5180914.324,505,784.29715,0.867025,-4.450064,897.905762,6.310523,0.968747,780.264893,4.032288,11.844055,0.253981,5.459425,167.402405,0.868062749,-0.001538,-0.040661,-0.003868,1829.194336,3
493220.4265,5180926.692,493220.4265,5180926.692,506,789.87962,0.696767,26.136303,175.906616,4.195611,1.300704,780.078064,9.801575,5.577148,0.637346,8.821895,263.954987,0.794210327,0.00417,-0.009947,-0.001525,1735.061035,2
493239.6474,5180927.303,493239.6474,5180927.303,507,791.34914,0.754471,9.634274,119.354797,3.507755,0.970499,779.913025,11.436096,3.878235,0.746758,7.950797,28.166069,0.000256108,0.014861,0.060489,0.008367,1586.837646,4
